n_harvest,washout,beta_W_out,beta_G,beta_D,aperture,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,rfc_type,max_n_features,verbose,experiment_name,cycles,n_rep,nrmse
400,500,0.01,1.1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.0046251150611693785
400,500,0.01,0.9,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.005104963694408391
400,500,0.01,1,0.01,250.0,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.006387817767455799
400,500,0.01,1,0.01,150.0,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.01247423581669847
400,500,0.011,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.004406112028849317
400,500,0.009000000000000001,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.005503331146864092
400,500,0.01,1,0.011,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.007244886314971713
400,500,0.01,1,0.009000000000000001,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.005526407413420901
400,500,0.01,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,120,False,../res/2024-11-27 09:33:19.csv,2,1,0.006547872516322191
400,500,0.01,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,80,False,../res/2024-11-27 09:33:19.csv,2,1,0.010341286028845062
400,500,0.01,1.1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.0038742950932912487
400,500,0.01,0.9,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.005643076689407665
400,500,0.01,1,0.01,250.0,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.0041050654942106
400,500,0.01,1,0.01,150.0,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.006970286932000645
400,500,0.011,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.007731074777207001
400,500,0.009000000000000001,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.007787503804121115
400,500,0.01,1,0.011,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.003184438884825062
400,500,0.01,1,0.009000000000000001,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,100,False,../res/2024-11-27 09:33:19.csv,2,1,0.007412835607406503
400,500,0.01,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,120,False,../res/2024-11-27 09:33:19.csv,2,1,0.004493636373433693
400,500,0.01,1,0.01,200,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,2,W_F,,,PCARFC,80,False,../res/2024-11-27 09:33:19.csv,2,1,0.008328605794570298
