n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,rfc_type,max_n_features,verbose,experiment_name,cycles,n_rep,nrmse
400,500,0.01,1,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.0015,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.009513792319659223
400,500,0.01,1,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.0005,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0036184180837053838
400,500,0.01,1,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.00025,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0032988448464733333
400,500,0.01,1,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.005338432761264824
400,500,0.01,1.1,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.010224630808758656
400,500,0.01,0.9,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.005973202921356734
400,500,0.01,0.81,0.01,1000,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.013928488625795137
400,500,0.01,0.81,0.01,1100.0,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.003999484207176813
400,500,0.01,0.81,0.01,900.0,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.009948916697666468
400,500,0.01,0.81,0.01,990.0,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008410980371247791
400,500,0.01,0.81,0.01,1089.0,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.005155641705581286
400,500,0.01,0.81,0.01,1197.9,400,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008482603919316361
400,500,0.01,0.81,0.01,1197.9,440.0,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0072380849332029295
400,500,0.01,0.81,0.01,1197.9,360.0,1300,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0068326847370101425
400,500,0.01,0.81,0.01,1197.9,400,1430.0,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.012325779818004576
400,500,0.01,0.81,0.01,1197.9,400,1170.0,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.004779420677167516
400,500,0.01,0.81,0.01,1197.9,400,1053.0,630,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006173692187476173
400,500,0.01,0.81,0.01,1197.9,400,1053.0,693.0,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.004492375198053268
400,500,0.01,0.81,0.01,1197.9,400,1053.0,567.0,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006676370567707416
400,500,0.01,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007564756019574143
400,500,0.0125,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006574279250592326
400,500,0.0075,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007564228809080144
400,500,0.009375,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007829303863939662
400,500,0.009375,0.81,0.0125,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008618499529359516
400,500,0.009375,0.81,0.0075,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.012031158276702588
