n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0011,0.01,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021096163791612284
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0009,0.01,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020145775808635804
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.01,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019490009327199414
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.01,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021263293031249493
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.011,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018359827016317678
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.009000000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019776911500207412
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.008100000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0015843742148023273
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002060719580107599
3000,500,0.05,0.55,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019471387550842822
3000,500,0.05,0.45,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0022533103870115054
3000,500,0.05,0.5,0.0001,66.0,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021278815821144954
3000,500,0.05,0.5,0.0001,54.0,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002109431158106431
3000,500,0.05,0.5,0.0001,60,33.0,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019744331513062157
3000,500,0.05,0.5,0.0001,60,27.0,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018262166523085352
3000,500,0.05,0.5,0.0001,60,24.3,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019776642053932502
3000,500,0.05,0.5,0.0001,60,24.3,165.0,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002231675871039535
3000,500,0.05,0.5,0.0001,60,24.3,135.0,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019994574942736824
3000,500,0.05,0.5,0.0001,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002217969264407259
3000,500,0.05,0.5,0.0001,60,24.3,121.5,22.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002251012699747165
3000,500,0.05,0.5,0.0001,60,24.3,121.5,18.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0022488163211374576
3000,500,0.0625,0.5,0.0001,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002038769322664385
3000,500,0.037500000000000006,0.5,0.0001,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0016845945973913922
3000,500,0.028125000000000004,0.5,0.0001,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021918845033250586
3000,500,0.028125000000000004,0.5,0.000125,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019090170024686675
3000,500,0.028125000000000004,0.5,7.500000000000001e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018524462397871712
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.00233181558472349
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.2000000000000002,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020444466516036522
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.0,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021354137886510065
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0008018999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019043420072802873
