n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017166258945139796
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0019385576371790507
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0016648189272196034
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0016349403892339087
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.001576195900876886
3000,500,0.02,0.36,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0015855957215538954
3000,500,0.02,0.324,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0018128729744652805
3000,500,0.02,0.324,6.000000000000001e-05,52.8,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0016988186842227654
3000,500,0.02,0.324,6.000000000000001e-05,43.2,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0016207635805128792
3000,500,0.02,0.324,6.000000000000001e-05,38.88,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017754920395163427
3000,500,0.02,0.324,6.000000000000001e-05,38.88,30.8,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0015038508597645089
3000,500,0.02,0.324,6.000000000000001e-05,38.88,25.2,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.00164201648023138
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017903265113194424
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,143.0,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.001489169185761873
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,117.0,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0015624518511048058
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,130,19.8,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.001400704324942206
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,130,16.2,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017082482867299836
3000,500,0.02,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017231180312363122
3000,500,0.025,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.001537013006508754
3000,500,0.015,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0014389848675006502
3000,500,0.01125,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017089262408966396
3000,500,0.01125,0.324,7.500000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017620349442189272
3000,500,0.01125,0.324,4.500000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0017360282943989988
3000,500,0.01125,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.2000000000000002,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0018283639986572963
3000,500,0.01125,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.0,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.5,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0019911253794346866
3000,500,0.01125,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.55,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0015750503058961018
3000,500,0.01125,0.324,6.000000000000001e-05,38.88,22.68,130,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,750,False,1.45,1.2,../res/2024-12-18 11:07:04.csv,2,3,0.0016996455616069648
