n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0019282989434782466
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0017027443110032023
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.001580692522186945
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0017376560335385866
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00693,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0016185117691546952
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0076230000000000004,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0015802166075448926
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.001837039167157667
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0018129260274859739
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0012312680120716015
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,300,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.0015804320757360872
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,300,1200,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,330.0,False,1.5,1.2,../res/2025-01-04 11:11:56.csv,1,1,0.001463101119105973
