N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003350003302263721
500,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0038741615183453515
500,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0,0.0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0031512917538462693
500,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0,0.0,../res/2025-01-16 10:49:54__500.csv,10,5,0.00308594047160888
500,10,matrix_conceptor,500,300,200,200,3000,500,0.0011,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003353391110841289
500,10,matrix_conceptor,500,300,200,200,3000,500,0.0009,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003124383446635366
500,10,matrix_conceptor,550.0,300,200,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003402659111064815
500,10,matrix_conceptor,450.0,300,200,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002495138583899897
500,10,matrix_conceptor,500,330.0,200,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0032483807018651714
500,10,matrix_conceptor,500,270.0,200,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002545599774662714
500,10,matrix_conceptor,500,243.0,200,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002790104909316999
500,10,matrix_conceptor,500,243.0,220.0,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002576221933837729
500,10,matrix_conceptor,500,243.0,180.0,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003418991945607
500,10,matrix_conceptor,500,243.0,198.0,200,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0034913725358613305
500,10,matrix_conceptor,500,243.0,198.0,220.0,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0036268115034505445
500,10,matrix_conceptor,500,243.0,198.0,180.0,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0025653207071955767
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.1,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.0026833560452751955
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.11000000000000001,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003960385509713764
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.09,1.1,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002993632339979118
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.1,1.1500000000000001,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.002256289929132143
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.1,1.05,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003153121701489224
500,10,matrix_conceptor,500,243.0,198.0,162.0,3000,500,0.001,0.1,1.0,1,0,0,../res/2025-01-16 10:49:54__500.csv,10,5,0.003358417842739214
