N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.00032476949999989,0.00617463,../res/2025-01-22 12:50:36__500.csv,3,5,0.0034086810570762177
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.00026572049999991,0.00617463,../res/2025-01-22 12:50:36__500.csv,3,5,0.0021046152945764776
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.0002952449999999,0.006792093000000001,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018317811426130926
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.0002952449999999,0.005557167,../res/2025-01-22 12:50:36__500.csv,3,5,0.002419661222093419
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.0002952449999999,0.0061128837,../res/2025-01-22 12:50:36__500.csv,3,5,0.0023807256464833926
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0024148851636940456
500,matrix_conceptor,1000,400,1300,630,1916,500,0.00011,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0022674165480978973
500,matrix_conceptor,1000,400,1300,630,1916,500,9e-05,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0028904533248940217
500,matrix_conceptor,1000,400,1300,630,1916,500,9.900000000000001e-05,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002514538556634174
500,matrix_conceptor,1000,400,1300,630,1916,500,0.0001089,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0022949824383772088
500,matrix_conceptor,1000,400,1300,630,1916,500,0.00011979,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019148277094084426
500,matrix_conceptor,1000,400,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002163849070674199
500,matrix_conceptor,1100.0,400,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0019870313912187486
500,matrix_conceptor,900.0,400,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0020786495143422967
500,matrix_conceptor,810.0,400,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002970677758013062
500,matrix_conceptor,810.0,440.0,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.002052308643948832
500,matrix_conceptor,810.0,360.0,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0024898055706246603
500,matrix_conceptor,810.0,324.0,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.001978003578262481
500,matrix_conceptor,810.0,291.6,1300,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0025449344559978744
500,matrix_conceptor,810.0,291.6,1430.0,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0021148685157965095
500,matrix_conceptor,810.0,291.6,1170.0,630,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.0018316214406788058
500,matrix_conceptor,810.0,291.6,1300,693.0,1916,500,0.000131769,0.01,1.1,1.0,0.0002952449999999,0.00672417207,../res/2025-01-22 12:50:36__500.csv,3,5,0.001811718618760761
