N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,1914,500,0.00011,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0021627640910503293
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,1914,500,9e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0027526398940588477
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.003084555015435829
500,1,matrix_conceptor,694.0530789282122,398.1071705534973,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.003985019373628516
500,1,matrix_conceptor,567.8616100321738,398.1071705534973,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.003822589736186547
500,1,matrix_conceptor,630.957344480193,437.9178876088471,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.00295053626507735
500,1,matrix_conceptor,630.957344480193,358.29645349814757,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.002451400020278597
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0028812064133873854
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1384.8179529735844,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0030729226898907292
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1133.0328706147507,1000,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.003341747779595711
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1100.0,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0026759430886227646
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,900.0,1914,500,8.1e-05,0.01,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0034849775556099714
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.011,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.004049556469253403
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.009000000000000001,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0017914305650946166
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.2,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0027726946931416674
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.25,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.002204094301806589
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.15,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.004049258628119443
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.0999999999999999,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0024208928872685278
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.0499999999999998,0.8,../res/2025-01-23 14:08:54__500.csv,2,5,0.0029847393387710886
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.0499999999999998,0.9,../res/2025-01-23 14:08:54__500.csv,2,5,0.002255499050484893
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.0499999999999998,0.7000000000000001,../res/2025-01-23 14:08:54__500.csv,2,5,0.0026233895445369007
500,1,matrix_conceptor,630.957344480193,322.4668081483328,1258.9254117941675,1000,1914,500,8.1e-05,0.008100000000000001,1.0499999999999998,0.6000000000000001,../res/2025-01-23 14:08:54__500.csv,2,5,0.0029927971491995426
