N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.00011,0.0005,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029554580970014813
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,9e-05,0.0005,../res/2025-01-23 16:43:22__500.csv,2,20,0.0030196112555299403
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,8.1e-05,0.0005,../res/2025-01-23 16:43:22__500.csv,2,20,0.003275520862942838
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,8.1e-05,0.00055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0025553634961917437
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,8.1e-05,0.00045,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029680499634469693
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0031119374977641744
500,1,matrix_conceptor,400,100,200,300,3000,500,0.00011,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0030560205214518977
500,1,matrix_conceptor,400,100,200,300,3000,500,9e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.003467697191642377
500,1,matrix_conceptor,400,100,200,300,3000,500,8.1e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0028132650304174924
500,1,matrix_conceptor,400,100,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029000686669438036
500,1,matrix_conceptor,500.0,100,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0033536695842563873
500,1,matrix_conceptor,300.0,100,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002747008792978544
500,1,matrix_conceptor,225.0,100,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0031200779247401696
500,1,matrix_conceptor,225.0,125.0,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029822115394101414
500,1,matrix_conceptor,225.0,75.0,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026074250537641086
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026219529433305242
500,1,matrix_conceptor,225.0,56.25,250.0,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0023168378237341538
500,1,matrix_conceptor,225.0,56.25,150.0,300,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0023075966464873665
500,1,matrix_conceptor,225.0,56.25,200,375.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0021886926427631204
500,1,matrix_conceptor,225.0,56.25,200,225.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0023327067097052546
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.011,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002384018420829137
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.009000000000000001,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002284239230542856
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002398024333401875
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.25,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002426405520426491
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.15,0.8,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0024892854074445277
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.9,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0024455757705374114
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.7000000000000001,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0021186323471073035
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.4,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002307906991700615
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.5,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0022415620389125263
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.30000000000000004,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002524542978553688
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.1e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0027803982759036327
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.91e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002530509277677847
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,7.290000000000001e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0030884721452704234
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.019000000000002e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.0022896727323892235
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.000495,../res/2025-01-23 16:43:22__500.csv,2,20,0.002499373193418384
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.0005445,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026716781422744607
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.0004455,../res/2025-01-23 16:43:22__500.csv,2,20,0.002569079125565697
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.00298600061137636
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,8.019000000000002e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.003026127713044331
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,6.561e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.00234171320288436
500,1,matrix_conceptor,225.0,56.25,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026206172383698148
500,1,matrix_conceptor,281.25,56.25,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0027647850187186964
500,1,matrix_conceptor,168.75,56.25,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0027587196956266715
500,1,matrix_conceptor,225.0,70.3125,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0024127365146290915
500,1,matrix_conceptor,225.0,42.1875,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0026901532680357358
500,1,matrix_conceptor,225.0,31.640625,200,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.0029633937872754665
500,1,matrix_conceptor,225.0,31.640625,250.0,300,3000,500,5.9049e-05,0.008100000000000001,1.2,0.6000000000000001,0.20000000000000004,8.820900000000002e-05,0.00040094999999999996,../res/2025-01-23 16:43:22__500.csv,2,20,0.00306751067613882
