N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003648694902452512
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030948682904142965
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.00055,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030763596737336694
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.00045,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003175879427400709
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.00011,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028701005221172648
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,9e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027759501929221623
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.00298673389099351
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,125.0,100.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030940502364192263
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,75.0,100.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028918134044594785
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,100.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003406727270022107
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,125.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030990085533791393
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,75.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0025497799376624397
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0031132432027311473
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,125.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003076908066881142
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,75.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.00311733293719428
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,110.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002569924361106419
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,90.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0031763082918400617
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,99.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002814549530560346
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003008124659872016
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002677012913797073
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.009000000000000001,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0032298249500233253
