N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,../res/2025-01-28 14:00:01_250.csv,3,5,0.0028323442576656563
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,../res/2025-01-28 14:00:01_250.csv,3,5,0.002911389039750656
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.910000000000001e-05,0.0005,../res/2025-01-28 14:00:01_250.csv,3,5,0.0026990058908236336
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.0005,../res/2025-01-28 14:00:01_250.csv,3,5,0.002843559027372023
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.00055,../res/2025-01-28 14:00:01_250.csv,3,5,0.003068644636075884
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.00045,../res/2025-01-28 14:00:01_250.csv,3,5,0.002903236888566776
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.0029103502199027695
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.00011,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.003297323618747576
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,9e-05,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.00280857834360228
250,500,matrix_conceptor,62.5,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.0029765638079536686
250,500,matrix_conceptor,37.5,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.003106332765687244
250,500,matrix_conceptor,50.0,25.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.003227636099692546
250,500,matrix_conceptor,50.0,15.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.003076859900653344
250,500,matrix_conceptor,50.0,11.25,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/2025-01-28 14:00:01_250.csv,3,5,0.002996631841821879
