N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029897124206798133
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029898945378967006
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.00055,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.00285577282666856
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.00045,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0022685794762730633
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003169619218341309
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,0.00011,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029820204826396584
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,9e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027568615128865915
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.002966208877894735
250,500,matrix_conceptor,62.5,20.0,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030045710040754814
250,500,matrix_conceptor,37.5,20.0,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0031631879155101816
250,500,matrix_conceptor,50.0,25.0,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.002747731814461872
250,500,matrix_conceptor,50.0,15.0,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0031053883913710004
250,500,matrix_conceptor,50.0,11.25,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.002753959175851765
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.002832429010579631
250,500,matrix_conceptor,50.0,8.4375,43.75,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030870003772888606
250,500,matrix_conceptor,50.0,8.4375,26.25,20.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0032769013158355045
250,500,matrix_conceptor,50.0,8.4375,35.0,22.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030908660520043165
250,500,matrix_conceptor,50.0,8.4375,35.0,18.0,3000,500,8.1e-05,0.01,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003057434932205907
