n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,b_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.005627113438722931
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.004499657214114476
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.005569420865924088
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.004294727275590422
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000295244999999919,0.00693,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.0064220916712243075
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.0027432121940734163
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000295244999999919,0.00693,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.003937422453536953
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000295244999999919,0.0076230000000000004,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.0069887909423462236
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.004672163888141225
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0002657204999999271,0.00693,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/PCARFC_250.csv,3,5,0.005291425035717861
