N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.002951058254180077
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.0033416067174306965
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.002729108932027129
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.002993382448436642
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.910000000000001e-05,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.002959653719931024
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.0005,../res/RFC_MAANDAG__250.csv,3,5,0.0032135278735182285
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.00055,../res/RFC_MAANDAG__250.csv,3,5,0.003025331308054567
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.00045,../res/RFC_MAANDAG__250.csv,3,5,0.002755869963431653
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.00308080931286652
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.00011,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0033181830789018804
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,9e-05,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002993602154084234
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,125.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.00291118734912765
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,75.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002863328608187954
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0032044423726832042
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,125.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002854449549840899
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,75.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0030084503562782102
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002950098793133492
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0031598651037032404
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,125.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0027367761711861124
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,75.0,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0028828274596788593
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,56.25,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0028463057616529832
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,42.1875,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002728715337476093
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,100.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002842474072832393
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,110.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0029927290682197185
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,90.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0027918149721659615
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.00280177473189108
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.011,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0032796274146499023
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.009000000000000001,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0032794013570559026
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.25,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.002655970841091121
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.15,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0030516317204223264
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.2,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0029078442843487777
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.25,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0028019110850539177
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.3,0.8,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0029910427966898965
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.3,0.9,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0030959713693899196
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.3,0.7000000000000001,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0028909475523153324
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,42.1875,31.640625,81.0,3000,500,0.0001,0.01,1.3,0.6000000000000001,8.019e-05,0.000405,../res/RFC_MAANDAG__250.csv,3,5,0.0031777119843166488
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028983912751551306
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0031857633380722034
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.0001089,0.0005,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003081065816824719
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.00011979,0.0005,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002766845149916249
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.0005,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0032947197636105535
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.00055,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0029364053621798937
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.00045,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002860726020431462
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002843990934509843
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0029400001771360497
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,0.00011,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002798395914140752
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,9e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028440412438281225
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,8.1e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002589730782622551
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,100.0,100.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0031367054819179834
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,125.0,100.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002906721641549908
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,75.0,100.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0027126863085971628
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,100.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028549759825380098
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,125.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0033290910928491886
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,75.0,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028475980177505972
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002930356609673429
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,125.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0027394287472261372
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,75.0,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0030926149815952543
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,93.75,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002876810619798864
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,100.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003243780796634127
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,110.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002361581825813453
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,90.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003320220237219082
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,99.0,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0032648357547206443
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,108.9,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0026391012261938267
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.01,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028728201818026236
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.011,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002852854243077392
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.009000000000000001,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028276676624034353
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.008100000000000001,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0026795731181460127
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002737436993147238
