N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,0.00011,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0024905199868523096
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,9e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002364916117915546
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.00253356728299672
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00055,../res/RFC_MAANDAG__500.csv,3,5,0.0023869724475040375
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00045,../res/RFC_MAANDAG__500.csv,3,5,0.0026821093037083265
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,0.00011,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025826360918432606
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,50,3000,500,9e-05,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026315465668298563
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,62.5,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0023239415020724426
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,37.5,50,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002909409015101288
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,62.5,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027792187245198278
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,37.5,50,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002429639672558287
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,62.5,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002534333507484178
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,37.5,50,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002461203194856197
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,55.0,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0024916405739334063
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,45.0,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002719205503859539
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,49.5,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025310423484038685
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,54.45,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002214627449096959
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002771595365018943
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.011,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002267377621050277
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.009000000000000001,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002650079651172024
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.0099,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002564951821392645
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002892252645143468
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.25,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002556590898977729
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.15,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002533459241699014
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.7,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0022050880198691497
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.5,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0023978274362454225
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.4,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002460419562225947
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.5,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0021529281150932888
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.30000000000000004,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002519180911555281
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,8.1e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028979438573446584
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,8.91e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025985310225084836
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,7.290000000000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002831254845952038
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,6.561e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0021688643641099596
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028962455729159274
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,50,50,50,59.895,3000,500,0.0001,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.00055,../res/RFC_MAANDAG__500.csv,3,5,0.0025656510301723156
