n_harvest,washout,learning_rate_c,beta_W_out,beta_G,beta_D,aperture,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,pattern 0 mean,pattern 0 std,pattern 1 mean,pattern 1 std,pattern 2 mean,pattern 2 std,pattern 3 mean,pattern 3 std,n_rep
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,random,0.015568233985165164,0.026092953308875438,0.007305996267977172,0.021484812214624508,0.3805162070001022,0.2457762623336545,0.42121076908820243,0.3316823699107959,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,F,0.02289186465990146,0.06255722751423595,0.02547807087877726,0.07264305668936284,0.46541257414009846,1.049870834717015,0.0032906147435472306,1.0252930522812433,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,W_F,0.31281792225984373,0.14564497496733417,0.016084302186744517,0.03200464493249762,0.5109751346057779,0.3493706879162694,0.4637520048770117,0.6167807184059285,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,white_noise,1,W_F,0.01679155944346054,0.042339049084324586,0.028963193617566958,0.03796743579751401,0.5799674391990938,0.5956990347066882,0.3925673071139252,0.4492099291923431,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,random,0.08529022405384738,0.057620393421563595,0.03243684188542595,0.034615343270123264,0.11419523983364505,0.04370238901966939,0.5863981290191392,0.6491871251002297,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,F,0.29568174620242593,0.2612805590784551,0.2876220595088311,0.16739490419145853,0.36486289087569596,0.22733579410265542,0.8921299356464784,1.335165729366784,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,random,1,W_F,0.015666641163533678,0.05514054600014777,0.008707173274054618,0.031113463791318713,0.02734710307859442,0.013021243632209637,0.4296163504164653,0.4184168733971519,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,white_noise,1,W_F,0.016242185699165676,0.03849572520527419,0.012703402669250881,0.031538336427075424,0.6214132654595849,0.5533838895221574,0.45135468359003045,0.8027781371800893,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,white_noise,1,W_G_tilde,0.05166255650781395,0.05944267471205515,0.017805968087351586,0.0349733724950827,0.0072738544500204035,0.006130592077703272,0.6263570959403737,0.6135732340657338,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,1,W_F,0.40529815243324135,0.7614700063014295,0.41213498192303766,0.7713971384420615,0.37091090471677785,0.827972590995796,0.4045596316011252,0.9464076914679163,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,reservoir_dim,patterns,1,W_G_tilde,0.12285313794590709,0.21751466070815767,0.2824930172734392,0.2388375285033169,0.22453903151147359,0.671810841672899,0.327703185519077,0.5903668021392284,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,random,1,random,0.5199498652580913,0.23900664794212972,0.3580885167540768,0.1777491186561904,0.4001021254847241,0.246394104675539,0.7092905445443837,0.45616051951642766,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,random,1,F,0.022967505602795348,0.05964912821079808,0.02127851478289787,0.04712910129886021,0.19197415451306865,0.20515369646030948,0.626715354544149,1.0398610207126848,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,random,1,W_F,0.04594610014386976,0.05664558498586301,0.06004634225026078,0.051450250285304346,0.1779303811253477,0.17498009421433208,0.15844593217146677,0.5443375248703296,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,white_noise,1,W_F,0.05722740104588094,0.05821035825734516,0.029342135974496617,0.04494568878158254,0.35199520779578375,0.42079212852374653,0.5588935139679092,0.4874306144412097,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,white_noise,1,W_G_tilde,0.019534456025772255,0.03760066166993422,0.01501895408182212,0.03062587942348758,0.5376229842637584,0.7391194634675902,1.2115122766009696,1.1573050845430022,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,patterns,1,W_F,0.5603956764648776,0.5241099501719233,0.22297660412741382,0.26277368053438094,1.6099664161556053,1.5284403778155349,0.5774378127670592,1.1622474211100822,10
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.5,0.1,sig_dim,patterns,1,W_G_tilde,0.4674102708735769,0.29402105216850455,0.39301222116895074,0.28093426884710854,0.3853788529877254,0.8507568268932575,0.49915161475400205,0.5774599542504613,10
