n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,b_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00055,0.007,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005632603753790235
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00055,0.007,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004285566282359254
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005589393144711649
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005581406396942401
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.007,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005904956734435059
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00055,0.007,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0042276090375541475
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.007,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005064997907604839
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0077,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006102287628421589
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.007,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00826583564054333
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0063,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.007886792516186233
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0041137150411537145
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.00693,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0074816337904757375
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0076230000000000004,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005682231501665002
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.0077,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004962605575875648
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.007400711518948442
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.0063,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00598909389879698
