n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,b_std,experiment_name,cycles,n_rep,nrmse
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0069881528975660285
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007497924353800149
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005545027601991401
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007597941888895761
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005093836488743571
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00396700471810451
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006817229619471503
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005851340449366663
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0052200789181090414
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.004253784496484907
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0036180669698392494
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006334121608473939
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00843920769891481
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006385338047211914
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.004672674463214463
1900,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007304414055750932
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0072224604948564405
1900,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00768569895782963
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,78.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0031282658973416145
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003359757916826792
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007697502757417549
1900,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009285969592658639
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,27.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006807684345670717
1900,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,31.25,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007877966570978109
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.004993051818888654
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,22.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.012700478595412557
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,93.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0027592996844934916
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,60.0,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00786456644376614
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005362170309428625
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,34.375,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008919189929267244
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,78.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0028289088773133728
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,36.0,28,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007083885610070495
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,28.125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0061343226185670546
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.002992641087438315
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,35.0,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0058747753204298064
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,21.0,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007510965904491382
1900,500,0.02,0.4,6.000000000000001e-05,60.0,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008423801664355933
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,30,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009403934189846263
1900,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005910143943289521
1900,500,0.02,0.4,6.000000000000001e-05,36.0,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0064417012480824844
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,78.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003113743860549319
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003974964787049696
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,37.5,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007123224317904094
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006945757587461803
1900,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0045450067081566
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,22.5,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0066187337423750615
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,93.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00275509040328993
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007669361776973363
1900,500,0.02,0.4,6.000000000000001e-05,27.0,35.0,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009049669975014276
1900,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.004420144481179884
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00693,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0035059884407426514
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,19.8,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008915631381399605
1900,500,0.02,0.4,6.000000000000001e-05,27.0,21.0,30,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009682780183188052
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,500,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,125.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.002599105628365661
1900,500,0.02,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,16.2,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009863186067616563
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,46.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00445341504041939
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,37.5,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007423177859636913
1900,500,0.025,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008400382466240319
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0076230000000000004,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0034191845279571004
1900,500,0.015,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00893800644050526
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,22.5,18,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006764954988054852
1900,500,0.01125,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007036196314873724
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,93.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0029365351100238716
1900,500,0.0084375,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005808525629399319
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,51.425,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0055297128373694125
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,30,19.8,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007828872422558492
1900,500,0.006328125,0.39599999999999996,6.000000000000001e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007388372026999998
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,78.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003441971093845941
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0034469372032552245
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,30,16.2,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005562064900955174
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,42.075,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.00444206602237079
1900,500,0.006328125,0.39599999999999996,6.6e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007380800396256872
1900,500,0.02,0.4,6.000000000000001e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006846376400537905
1900,500,0.006328125,0.39599999999999996,5.4000000000000005e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007831859439042143
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.007990776882455253
1900,500,0.025,0.4,6.000000000000001e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008909202080826939
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.2000000000000002,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009578937349817023
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,78.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0028074806561900136
1900,500,0.015,0.4,6.000000000000001e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006413666540048236
1900,500,0.02,0.2916,6.000000000000001e-05,60.0,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,37.8675,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003857566433925083
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.0,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009059912535908751
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,500,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,125.0,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.002486555720262579
1900,500,0.01125,0.4,6.000000000000001e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005556665063252707
1900,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003683021739278744
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.55,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006037310036363308
1900,500,0.0084375,0.4,6.000000000000001e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008644225023519829
1900,500,0.02,0.2916,6.000000000000001e-05,36.0,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,37.8675,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0038462635771040485
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.45,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.009118055132684991
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.005966785043731088
1900,500,0.02,0.2916,6.000000000000001e-05,27.0,28,30,18,1.1,250,187,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,37.8675,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006620551239399331
1900,500,0.0084375,0.4,6.6e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.0075145783560078405
1900,500,0.006328125,0.39599999999999996,4.86e-05,48,15.75,16.875,18,1.1,250,100,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,24.75,False,1.55,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.008046575484970595
1900,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,base,62.5,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.003692253813001249
1900,500,0.0084375,0.4,5.4000000000000005e-05,27.0,28,30,14.579999999999998,1.1,250,125,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,base,25.3125,False,1.5,1.2,15,0.4,../res/base_VRIJDAG__250.csv,3,5,0.006889960845962996
