n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,b_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.006624783438578462
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.004983514817662653
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.0071107503267862525
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.007654720196626498
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000295244999999919,0.00693,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.005518755904182572
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,base,46.75,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.0050583880272488954
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0002657204999999271,0.00693,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.008049044944549002
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000360854999999901,0.00693,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.005468755845012675
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,base,46.75,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.0036409805457458524
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003969404999998911,0.00693,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.006266146639563816
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,base,62.5,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.0030605692740287545
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0002657204999999271,0.0076230000000000004,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.004464369167394007
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0002657204999999271,0.006237,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.006551426361893979
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000295244999999919,0.00693,base,46.75,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.004427089342621656
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003969404999998911,0.0076230000000000004,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.004985307727107326
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0002657204999999271,0.006860700000000001,base,25.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.00837642905739117
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00040094999999989,0.00693,base,78.0,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.003041571399286635
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00032804999999991,0.00693,base,62.5,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.003356689772559947
3000,500,0.02,0.4356,6.000000000000001e-05,48.0,28.0,30.0,18.0,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003969404999998911,0.006237,base,31.25,False,1.5,1.2,15,0.4,../res/base_250.csv,3,5,0.006633826447127776
