N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.00011,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0018837784385124985
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,9e-05,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002107104100853664
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.001976191903159165
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0022648160180923716
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.0001089,0.00055,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020613377831172792
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.0001089,0.00045,../res/2025-01-23 14:35:30__500.csv,2,5,0.0026024989490264234
500,1,matrix_conceptor,50,20,35,20,3000,500,0.00011,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.001959031588925377
500,1,matrix_conceptor,50,20,35,20,3000,500,9e-05,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0024657273545258046
500,1,matrix_conceptor,50,20,35,20,3000,500,9.900000000000001e-05,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0021057365734872
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0023377006532801893
500,1,matrix_conceptor,55.0,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019936657033960067
500,1,matrix_conceptor,45.0,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002541292703878619
500,1,matrix_conceptor,49.5,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002533853591622135
500,1,matrix_conceptor,54.45,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019326824868113011
500,1,matrix_conceptor,59.895,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020806444395143585
500,1,matrix_conceptor,59.895,22.0,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002052224923675479
500,1,matrix_conceptor,59.895,18.0,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0021625188854818953
500,1,matrix_conceptor,59.895,20,38.5,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019441928915384416
500,1,matrix_conceptor,59.895,20,31.5,20,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020092928334081066
500,1,matrix_conceptor,59.895,20,35,22.0,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025543783943543625
500,1,matrix_conceptor,59.895,20,35,18.0,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019971681195338517
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.01,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002468684573207233
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019473476932367075
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.009000000000000001,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025172818906705552
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.0099,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0024262869118371767
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.01089,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002149885524117062
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0031428193777576453
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.25,0.8,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002571248928095785
