N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000121,0.0005,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027406740459573206
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,9.900000000000001e-05,0.0005,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0031231877272252413
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.0001089,0.0005,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.003089852154590201
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.00011979,0.0005,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002853358810543151
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.0005,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0032159467600333933
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.00055,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002506639855234115
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.00045,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0028726811979039703
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029346459074167013
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,0.00011,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.00280001914315411
250,500,matrix_conceptor,150,50.0,100.0,60.0,3000,500,9e-05,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0030932577792310034
250,500,matrix_conceptor,180.0,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002866740550782034
250,500,matrix_conceptor,120.0,50.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002757130465462328
250,500,matrix_conceptor,150,60.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0028192468501050056
250,500,matrix_conceptor,150,40.0,100.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027635352115630086
250,500,matrix_conceptor,150,50.0,120.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027418593488835814
250,500,matrix_conceptor,150,50.0,80.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027783894941283537
250,500,matrix_conceptor,150,50.0,64.0,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002676918143439819
250,500,matrix_conceptor,150,50.0,51.2,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002550193356604645
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002852824417246119
250,500,matrix_conceptor,150,50.0,40.96,72.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.00302167794427146
250,500,matrix_conceptor,150,50.0,40.96,48.0,3000,500,0.0001,0.01,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029546585370015055
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.011,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029460604398486735
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.009000000000000001,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027977770432628256
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.008100000000000001,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002604669780184918
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027296335168634513
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002586907276269516
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.15,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0028602131164542884
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.2,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002698876973482145
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.8,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002911561122745072
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.8500000000000001,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0029995702900790845
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.75,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002609026364281812
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.000131769,0.000405,0.4,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0026841475322300808
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.000131769,0.000405,0.45,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0026542808685874704
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.000131769,0.000405,0.35000000000000003,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0024966501491721304
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.000131769,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.003057368315373206
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.0001449459,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.002768723734166573
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.0001185921,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.003005266565715628
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,0.00010673289,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0028388248321396985
250,500,matrix_conceptor,150,50.0,40.96,60.0,3000,500,0.0001,0.007290000000000001,1.25,0.7,9.6059601e-05,0.000405,0.30000000000000004,../res/matrix_conceptor_250_tuesday.csv,3,5,0.0027274710859393086
