N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.00055,0.007,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022237815868367274
250,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.00045,0.007,../res/2025-01-14 17:15:34__250.csv,2,5,0.003190436574211892
250,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.0005,0.0077,../res/2025-01-14 17:15:34__250.csv,2,5,0.002043904939453365
250,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.0005,0.0063,../res/2025-01-14 17:15:34__250.csv,2,5,0.002248472965357326
250,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002323348969378131
250,matrix_conceptor,48,28,30,18,3000,500,0.00011,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021012393344003685
250,matrix_conceptor,48,28,30,18,3000,500,9e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0027559997249955795
250,matrix_conceptor,48,28,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002783042379957012
250,matrix_conceptor,52.8,28,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0026834718428202175
250,matrix_conceptor,43.2,28,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002848587637154151
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0036269821644420814
250,matrix_conceptor,47.52,30.8,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0019949137944244434
250,matrix_conceptor,47.52,25.2,30,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0027761099819650146
250,matrix_conceptor,47.52,28,33.0,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002248641375461086
250,matrix_conceptor,47.52,28,27.0,18,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022653628095903947
250,matrix_conceptor,47.52,28,30,19.8,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002631095306638018
250,matrix_conceptor,47.52,28,30,16.2,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0025234904020541037
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.0125,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0026083736599067254
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.0075,1.2,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020671998074284635
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.25,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002196986496815374
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.15,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020316145542055913
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002182089257282765
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.65,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021810460030612967
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.5499999999999999,0.0005,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021804267695669653
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00055,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021249770855559734
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00045,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002644179152695968
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.000405,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0024578295039790884
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00036449999999999997,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022506253779715733
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00032805,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022141410492848602
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.00567,../res/2025-01-14 17:15:34__250.csv,2,5,0.002376363987777077
