n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.005093335612417502
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.005859793535912289
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.008906175592582553
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006760076402918806
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.008987444983305733
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0031269184583896277
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000495,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.004678018364494178
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0057401152344643
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0068550546314837734
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005445,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0033655989352906687
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0038670847915138764
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.00748217951311457
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.009105874715570396
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0019720136456292613
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.005367216591048346
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000495,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0026651805219615014
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,275.0,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.005320841517920825
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0077,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.004759243232996267
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,225.0,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.010573139637983425
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0063,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006552796274471383
3000,500,0.02,0.4,6.000000000000001e-05,52.8,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006312670381928916
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0019339190201773087
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0023004353127819344
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005445,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0038139683365792897
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.00693,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.004774522120672375
3000,500,0.02,0.4,6.000000000000001e-05,43.2,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.005191660992457909
3000,500,0.02,0.4,6.000000000000001e-05,38.88,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.008484744156359492
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0076230000000000004,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0033836796694250403
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0083853,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.003952601173715144
3000,500,0.02,0.4,6.000000000000001e-05,38.88,30.8,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0083779939671556
3000,500,0.02,0.4,6.000000000000001e-05,38.88,25.2,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006787732669705598
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000495,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0023058979782627394
3000,500,0.02,0.4,6.000000000000001e-05,38.88,22.68,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006151500486344579
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005445,0.0077,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.002638362549435863
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.001802527303605606
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0083853,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.003309147231786867
3000,500,0.02,0.4,6.000000000000001e-05,38.88,20.412,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.009249988033724947
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0020566264839019105
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00059895,0.0083853,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.0054131034918437826
3000,500,0.02,0.4,6.000000000000001e-05,38.88,20.412,33.0,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.00822898921881904
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005445,0.0063,base,250,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.004515965515914266
3000,500,0.02,0.4,6.000000000000001e-05,38.88,20.412,27.0,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00567,base,247.5,False,1.5,1.2,../res/2025-01-04 11:57:08.csv,2,3,0.006609962487059838
