n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004044748632719164
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0033824920986153667
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0036421803404569205
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.003473842221955252
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0042794084753718705
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004775291667761963
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,46,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0020720443612074696
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.003991453741690633
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0045868530466674105
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.0077,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0048002467906221
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.0063,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.005393810469560041
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,46,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.002932798724330137
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,62,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0018584473262388125
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.005953515282251852
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.0077,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004525337624105614
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.007257705764752979
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.0063,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.005387211857502879
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004486504936023601
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004686404528987476
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,62,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0017456747983702406
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,62,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0018986606327276155
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,46,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0028946482460952367
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.004885366987168781
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,27.5,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.005606181771149865
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0024997305922285266
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,22.5,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.006729178865095037
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,46,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.0025894148541857746
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.007,PCARFC,31,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.003111197207140598
3000,500,0.02,0.324,6.000000000000001e-05,52.8,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.006748756713685791
3000,500,0.02,0.324,6.000000000000001e-05,43.2,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00036449999999999997,0.00693,PCARFC,25,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.005041025948465688
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,62,False,1.5,1.2,../res/2025-01-06 16:26:40.csv,2,5,0.001813176534663566
