n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,25,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.005686360126680064
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,31,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.005229329648643745
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,25,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.003955952391316969
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,25,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.005951196111410266
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,31,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.004692216127420512
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,46,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.0026489432306989755
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,25,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.005548328484984344
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,25,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.007588652298920172
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,base,31,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.006455919577247751
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,46,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.003460095733650545
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,base,31,False,1.5,1.2,../res/2025-01-06 16:27:15.csv,2,5,0.0045161838191661
